都道府県名,年,国籍,年間訪問者数,第1四半期,第2四半期,第3四半期,第4四半期
岩手県,2013,タイ,0,0,0,0,0
岩手県,2013,シンガポール,208,0,0,208,0
岩手県,2013,マレーシア,1699,0,1198,501,0
岩手県,2013,インド,0,0,0,0,0
岩手県,2013,英国,727,0,0,234,493
岩手県,2013,フランス,1014,189,0,825,0
岩手県,2013,ドイツ,346,189,157,0,0
岩手県,2013,ロシア,486,0,155,256,75
岩手県,2013,カナダ,674,0,465,209,0
岩手県,2013,米国,3134,258,861,2015,0
岩手県,2013,オーストラリア,917,0,0,0,917
岩手県,2014,韓国,1458,0,0,465,993
岩手県,2014,中国,3039,0,1532,441,1066
岩手県,2014,台湾,17637,1752,3785,5437,6663
岩手県,2014,香港,2123,0,1323,0,800
岩手県,2014,ベトナム,0,0,0,0,0
岩手県,2014,タイ,698,698,0,0,0
岩手県,2014,シンガポール,0,0,0,0,0
岩手県,2014,マレーシア,460,0,0,0,460
岩手県,2014,フィリピン,939,0,0,939,0
岩手県,2014,インドネシア,350,155,0,195,0
岩手県,2014,インド,0,0,0,0,0
岩手県,2014,英国,586,0,300,286,0
岩手県,2014,フランス,0,0,0,0,0
岩手県,2014,ドイツ,1275,163,557,353,202
岩手県,2014,ロシア,0,0,0,0,0
岩手県,2014,カナダ,1040,193,0,401,446
岩手県,2014,米国,4699,1059,1960,1680,0
岩手県,2014,オーストラリア,450,0,450,0,0
岩手県,2015,韓国,1549,0,436,525,588
岩手県,2015,中国,6256,602,816,1076,3762
岩手県,2015,台湾,15998,1456,4834,5451,4257
岩手県,2015,香港,0,0,0,0,0
岩手県,2015,ベトナム,0,0,0,0,0
岩手県,2015,タイ,1200,0,1200,0,0
岩手県,2015,シンガポール,854,0,854,0,0
岩手県,2015,マレーシア,695,0,0,220,475
岩手県,2015,フィリピン,0,0,0,0,0
岩手県,2015,インドネシア,769,466,0,303,0
岩手県,2015,インド,0,0,0,0,0
岩手県,2015,英国,856,0,0,0,856
岩手県,2015,フランス,0,0,0,0,0
岩手県,2015,ドイツ,1391,283,341,0,767
岩手県,2015,スペイン,536,0,0,319,217
岩手県,2015,イタリア,363,0,0,363,0
岩手県,2015,ロシア,215,99,0,0,116
岩手県,2015,カナダ,0,0,0,0,0
岩手県,2015,米国,3148,879,1566,336,367
岩手県,2015,オーストラリア,2082,1181,901,0,0
岩手県,2016,韓国,1538,695,505,338,0
岩手県,2016,中国,8167,3836,3089,1242,0
岩手県,2016,台湾,31697,3732,4275,8081,15609
岩手県,2016,香港,3593,0,1655,0,1938
岩手県,2016,ベトナム,998,0,0,0,998
岩手県,2016,タイ,1922,0,1256,666,0
岩手県,2016,シンガポール,963,0,963,0,0
岩手県,2016,マレーシア,1259,721,0,538,0
岩手県,2016,フィリピン,871,0,563,308,0
岩手県,2016,インドネシア,355,355,0,0,0
岩手県,2016,インド,0,0,0,0,0
岩手県,2016,英国,477,0,0,0,477
岩手県,2016,フランス,489,0,0,489,0
岩手県,2016,ドイツ,396,0,396,0,0
岩手県,2016,スペイン,0,0,0,0,0
